topology,n_nodes,n_edges,mean_degree,n_avalanches,mean_size,max_size,tau,ks
lattice,36,60,3.33,7000,407.80,472,1.178,0.604
lattice,36,60,3.33,7000,406.72,461,1.179,0.602
lattice,36,60,3.33,7000,405.91,459,1.179,0.602
random,37,60,3.24,7000,407.17,470,1.178,0.603
random,40,100,5.00,7000,681.18,752,1.163,0.608
random,40,160,8.00,7000,1088.39,1191,1.152,0.611
scale_free,40,39,1.95,7000,267.33,319,1.193,0.596
scale_free,40,76,3.80,7000,514.66,585,1.171,0.605
scale_free,40,144,7.20,7000,977.69,1078,1.154,0.610
small_world,40,40,2.00,7000,223.97,270,1.200,0.595
small_world,40,80,4.00,7000,544.98,610,1.170,0.605
small_world,40,160,8.00,7000,1089.28,1181,1.152,0.611
