topology,n_nodes,n_edges,mean_degree,n_avalanches,mean_size,max_size,tau,ks
lattice,16,24,3.00,1800,82.23,111,1.250,0.573
lattice,16,24,3.00,1800,84.32,112,1.248,0.578
lattice,16,24,3.00,1800,83.53,109,1.249,0.574
random,19,30,3.16,1800,105.22,135,1.235,0.581
random,20,50,5.00,1800,175.44,206,1.210,0.593
random,20,80,8.00,1800,276.13,327,1.192,0.598
scale_free,20,19,1.90,1800,64.70,89,1.266,0.543
scale_free,20,36,3.60,1800,124.21,157,1.227,0.584
scale_free,20,64,6.40,1800,223.96,275,1.200,0.595
small_world,20,20,2.00,1800,66.92,95,1.264,0.519
small_world,20,40,4.00,1800,139.15,176,1.221,0.588
small_world,20,80,8.00,1800,276.50,321,1.192,0.597
